d_idle,p_idle,idle,ep
8.0,5847.0,5855,0
6.0,5622.0,5628,1
2.0,5187.0,5189,2
0.0,5177.0,5177,3
1.0,4523.0,4524,4
2.0,5167.0,5169,5
5.0,4494.0,4499,6
1.0,4427.0,4428,7
2.0,4660.0,4662,8
2.0,5047.0,5049,9
3.0,5019.0,5022,10
1.0,5643.0,5644,11
11.0,5080.0,5091,12
4.0,5301.0,5305,13
7.0,4431.0,4438,14
4.0,4979.0,4983,15
7.0,4698.0,4705,16
2.0,4609.0,4611,17
17.0,4330.0,4347,18
12.0,4494.0,4506,19
4.0,4416.0,4420,20
4.0,4414.0,4418,21
0.0,4948.0,4948,22
4.0,4733.0,4737,23
1.0,4981.0,4982,24
8.0,5332.0,5340,25
10.0,5008.0,5018,26
2.0,4996.0,4998,27
2.0,4844.0,4846,28
4.0,5296.0,5300,29
10.0,5106.0,5116,30
9.0,5079.0,5088,31
4.0,5349.0,5353,32
7.0,4941.0,4948,33
1.0,4824.0,4825,34
11.0,4175.0,4186,35
15.0,5193.0,5208,36
7.0,4912.0,4919,37
2.0,5408.0,5410,38
8.0,5535.0,5543,39
18.0,4784.0,4802,40
11.0,5737.0,5748,41
11.0,5615.0,5626,42
11.0,5950.0,5961,43
6.0,5664.0,5670,44
3.0,5912.0,5915,45
2.0,5150.0,5152,46
1.0,5710.0,5711,47
9.0,5142.0,5151,48
7.0,4552.0,4559,49
5.0,4319.0,4324,50
2.0,4997.0,4999,51
5.0,4173.0,4178,52
4.0,4397.0,4401,53
15.0,4150.0,4165,54
17.0,4216.0,4233,55
2.0,4268.0,4270,56
16.0,4735.0,4751,57
7.0,4320.0,4327,58
1.0,4211.0,4212,59
9.0,4420.0,4429,60
8.0,4119.0,4127,61
6.0,4269.0,4275,62
2.0,4217.0,4219,63
0.0,3687.0,3687,64
4.0,4098.0,4102,65
4.0,4037.0,4041,66
2.0,4080.0,4082,67
16.0,3931.0,3947,68
7.0,3911.0,3918,69
9.0,3914.0,3923,70
5.0,4059.0,4064,71
7.0,3944.0,3951,72
6.0,3685.0,3691,73
1.0,4175.0,4176,74
7.0,3984.0,3991,75
2.0,3918.0,3920,76
1.0,4542.0,4543,77
4.0,4010.0,4014,78
2.0,4596.0,4598,79
11.0,4003.0,4014,80
8.0,4513.0,4521,81
6.0,4289.0,4295,82
7.0,4242.0,4249,83
2.0,4743.0,4745,84
3.0,3964.0,3967,85
1.0,4050.0,4051,86
11.0,3797.0,3808,87
2.0,4302.0,4304,88
0.0,4539.0,4539,89
10.0,3372.0,3382,90
3.0,4143.0,4146,91
4.0,4230.0,4234,92
3.0,4383.0,4386,93
10.0,4217.0,4227,94
1.0,4392.0,4393,95
8.0,3838.0,3846,96
6.0,4269.0,4275,97
10.0,4164.0,4174,98
4.0,3686.0,3690,99
8.0,5847.0,5855,0
19.0,4907.0,4926,1
12.0,5518.0,5530,2
6.0,5285.0,5291,3
12.0,4552.0,4564,4
3.0,4662.0,4665,5
0.0,5147.0,5147,6
5.0,4406.0,4411,7
0.0,5043.0,5043,8
2.0,5727.0,5729,9
10.0,5809.0,5819,10
15.0,5589.0,5604,11
10.0,5488.0,5498,12
9.0,5403.0,5412,13
0.0,4855.0,4855,14
0.0,5409.0,5409,15
3.0,5325.0,5328,16
16.0,4585.0,4601,17
0.0,5179.0,5179,18
1.0,5274.0,5275,19
12.0,5370.0,5382,20
5.0,5333.0,5338,21
2.0,5196.0,5198,22
16.0,5256.0,5272,23
7.0,5866.0,5873,24
4.0,5026.0,5030,25
5.0,5345.0,5350,26
6.0,4445.0,4451,27
6.0,4910.0,4916,28
0.0,5405.0,5405,29
15.0,5350.0,5365,30
3.0,5588.0,5591,31
7.0,5397.0,5404,32
1.0,5289.0,5290,33
3.0,5566.0,5569,34
4.0,5330.0,5334,35
5.0,4774.0,4779,36
6.0,5867.0,5873,37
7.0,5455.0,5462,38
0.0,5345.0,5345,39
11.0,5284.0,5295,40
1.0,5682.0,5683,41
7.0,5900.0,5907,42
0.0,5950.0,5950,43
6.0,5532.0,5538,44
0.0,5605.0,5605,45
3.0,5153.0,5156,46
4.0,5472.0,5476,47
5.0,4952.0,4957,48
12.0,5232.0,5244,49
5.0,4479.0,4484,50
29.0,5226.0,5255,51
11.0,4504.0,4515,52
5.0,4930.0,4935,53
6.0,5477.0,5483,54
