p_idle,d_idle,total_idle_time,d_total_time
1260.0,8.0,1268,2637.0
1586.0,31.0,1617,2660.0
1317.0,7.0,1324,2636.0
921.0,10.0,931,2639.0
1480.0,21.0,1501,2650.0
1214.0,50.0,1264,2679.0
1013.0,12.0,1025,2641.0
1522.0,9.0,1531,2638.0
1031.0,42.0,1073,2671.0
1410.0,17.0,1427,2646.0
1417.0,42.0,1459,2671.0
1438.0,13.0,1451,2642.0
1108.0,22.0,1130,2651.0
1491.0,15.0,1506,2644.0
1249.0,30.0,1279,2659.0
1300.0,52.0,1352,2681.0
1678.0,7.0,1685,2636.0
1496.0,6.0,1502,2635.0
1384.0,7.0,1391,2636.0
1322.0,16.0,1338,2645.0
1053.0,14.0,1067,2643.0
1091.0,19.0,1110,2648.0
1235.0,12.0,1247,2641.0
1166.0,3.0,1169,2632.0
1603.0,13.0,1616,2642.0
1476.0,24.0,1500,2653.0
1351.0,14.0,1365,2643.0
1210.0,17.0,1227,2646.0
1165.0,12.0,1177,2641.0
1563.0,13.0,1576,2642.0
1194.0,16.0,1210,2645.0
1054.0,17.0,1071,2646.0
1608.0,17.0,1625,2646.0
1389.0,27.0,1416,2656.0
1088.0,7.0,1095,2636.0
1174.0,49.0,1223,2678.0
1263.0,35.0,1298,2664.0
1385.0,18.0,1403,2647.0
1757.0,11.0,1768,2640.0
1510.0,11.0,1521,2640.0
1139.0,4.0,1143,2633.0
1254.0,41.0,1295,2670.0
1637.0,20.0,1657,2649.0
1729.0,19.0,1748,2648.0
967.0,35.0,1002,2664.0
1174.0,22.0,1196,2651.0
1764.0,7.0,1771,2636.0
1397.0,18.0,1415,2647.0
1184.0,54.0,1238,2683.0
1242.0,26.0,1268,2655.0
1237.0,6.0,1243,2635.0
765.0,45.0,810,2674.0
1386.0,22.0,1408,2651.0
966.0,14.0,980,2643.0
1109.0,18.0,1127,2647.0
1529.0,6.0,1535,2635.0
1380.0,24.0,1404,2653.0
1790.0,2.0,1792,2631.0
1350.0,6.0,1356,2635.0
1306.0,26.0,1332,2655.0
1291.0,23.0,1314,2652.0
1358.0,14.0,1372,2643.0
1344.0,9.0,1353,2638.0
1674.0,22.0,1696,2651.0
1535.0,16.0,1551,2645.0
1108.0,25.0,1133,2654.0
1654.0,18.0,1672,2647.0
1284.0,6.0,1290,2635.0
1392.0,18.0,1410,2647.0
1232.0,13.0,1245,2642.0
1402.0,1.0,1403,2630.0
1114.0,34.0,1148,2663.0
1097.0,16.0,1113,2645.0
1170.0,40.0,1210,2669.0
1313.0,24.0,1337,2653.0
1060.0,23.0,1083,2652.0
1572.0,8.0,1580,2637.0
1078.0,38.0,1116,2667.0
1307.0,22.0,1329,2651.0
1047.0,31.0,1078,2660.0
1053.0,19.0,1072,2648.0
1282.0,37.0,1319,2666.0
1153.0,25.0,1178,2654.0
1256.0,18.0,1274,2647.0
1199.0,16.0,1215,2645.0
1079.0,23.0,1102,2652.0
1296.0,9.0,1305,2638.0
1330.0,34.0,1364,2663.0
1165.0,11.0,1176,2640.0
1142.0,25.0,1167,2654.0
986.0,28.0,1014,2657.0
1440.0,35.0,1475,2664.0
1608.0,12.0,1620,2641.0
1546.0,11.0,1557,2640.0
1069.0,18.0,1087,2647.0
1659.0,16.0,1675,2645.0
1064.0,12.0,1076,2641.0
1112.0,7.0,1119,2636.0
1592.0,10.0,1602,2639.0
1134.0,23.0,1157,2652.0
